                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51926,                 1.3087,                 1.0018,                0.99686,                0.99857,                  0.995,                0.95634,                0.29373,                0.28076,                0.83813,             0.00033315,             0.00033315,             0.00033315
                      2,                0.41594,                 0.5825,                0.93517,                0.99954,                      1,                  0.995,                0.97758,                0.22619,                0.16629,                 0.8096,             0.00063349,             0.00063349,             0.00063349
                      3,                0.39623,                0.51469,                0.92502,                0.99963,                      1,                  0.995,                0.98065,                0.22694,                0.15643,                 0.8066,             0.00090083,             0.00090083,             0.00090083
                      4,                0.36139,                 0.4772,                0.91185,                0.99706,                0.99597,                  0.995,                0.98515,                0.19522,                0.14188,                0.79622,              0.0008515,              0.0008515,              0.0008515
                      5,                0.34065,                0.45734,                0.90401,                0.99973,                0.99993,                  0.995,                0.98779,                0.18227,                0.12347,                0.79253,              0.0008515,              0.0008515,              0.0008515
                      6,                0.31224,                 0.4328,                0.89267,                0.99986,                      1,                  0.995,                0.98802,                0.17822,                0.12087,                0.79243,               0.000802,               0.000802,               0.000802
                      7,                0.30032,                0.42035,                0.88853,                0.99975,                      1,                  0.995,                0.99028,                0.16144,                0.10773,                 0.7856,              0.0007525,              0.0007525,              0.0007525
                      8,                 0.2852,                0.40834,                0.88434,                0.99989,                      1,                  0.995,                0.99128,                0.14588,                0.09849,                0.78095,               0.000703,               0.000703,               0.000703
                      9,                0.27144,                0.40122,                0.88019,                0.99986,                      1,                  0.995,                0.99277,                0.13825,                0.09376,                0.77873,              0.0006535,              0.0006535,              0.0006535
                     10,                0.26045,                0.38719,                0.87525,                0.99989,                      1,                  0.995,                0.99353,                0.12816,                0.08992,                0.77546,               0.000604,               0.000604,               0.000604
                     11,                0.17418,                0.13527,                0.81168,                0.99984,                0.99999,                  0.995,                0.99368,                0.12413,                0.08596,                0.77465,              0.0005545,              0.0005545,              0.0005545
                     12,                 0.1567,                0.12018,                0.80351,                0.99989,                      1,                  0.995,                0.99406,                0.11158,                0.07733,                0.77062,               0.000505,               0.000505,               0.000505
                     13,                0.14559,                0.10987,                0.80187,                0.99992,                      1,                  0.995,                0.99431,                0.10846,                0.07416,                0.76969,              0.0004555,              0.0004555,              0.0004555
                     14,                0.13643,                0.10344,                0.79747,                0.99992,                      1,                  0.995,                0.99451,                 0.1005,                0.06999,                0.76825,               0.000406,               0.000406,               0.000406
                     15,                0.12895,                0.09763,                0.79685,                 0.9999,                      1,                  0.995,                0.99449,                 0.0974,                0.06639,                0.76748,              0.0003565,              0.0003565,              0.0003565
                     16,                0.12277,                0.09313,                0.79633,                 0.9999,                      1,                  0.995,                0.99457,                 0.0925,                0.06286,                0.76617,               0.000307,               0.000307,               0.000307
                     17,                0.11734,                0.09026,                0.79432,                0.99992,                      1,                  0.995,                0.99454,                 0.0897,                0.06051,                0.76562,              0.0002575,              0.0002575,              0.0002575
                     18,                0.11042,                0.08433,                0.79205,                 0.9999,                      1,                  0.995,                 0.9947,                0.08777,                 0.0591,                0.76508,               0.000208,               0.000208,               0.000208
                     19,                0.10508,                0.08006,                 0.7928,                0.99991,                      1,                  0.995,                0.99471,                0.08543,                0.05895,                0.76481,              0.0001585,              0.0001585,              0.0001585
                     20,                0.09899,                0.07553,                0.79067,                0.99992,                      1,                  0.995,                0.99468,                0.08339,                0.05672,                0.76438,               0.000109,               0.000109,               0.000109
